id;tracking_code;date;details;invoice_id
1;contextually-based;2019-08-11T21:49:02;Jewelery cutting-edge;1
2;Games;2019-08-12T01:06:14;supply-chains magenta;2
3;encompassing;2019-08-12T07:30:10;Gloves sky blue Oklahoma;3
4;robust Engineer;2019-08-11T14:15:47;Quality-focused;4
5;card Plastic;2019-08-11T13:24:58;mission-critical;5
6;Berkshire Small Plastic Pants Investor;2019-08-12T07:36:44;Granite Berkshire Designer;6
7;Credit Card Account;2019-08-12T11:25:16;24/7 Re-contextualized cross-platform;7
8;invoice withdrawal;2019-08-12T00:30:11;Licensed hacking installation;8
9;Argentine Peso;2019-08-11T16:45:40;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-08-12T09:10:37;Yen synthesize Creative;10
